car_age,km_driven,fuel_Diesel,fuel_Electric,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner,Actual_Price,Predicted_Price,Prediction_Error,Absolute_Error
13,88000,True,False,False,False,True,False,True,False,True,False,False,430000,331724.02761904756,98275.97238095244,98275.97238095244
14,235000,True,False,False,False,True,False,True,False,True,False,False,434999,435200.0,-201.0,201.0
16,110000,False,False,False,True,True,False,True,False,False,False,False,130000,137696.66666666666,-7696.666666666657,7696.666666666657
12,40000,False,False,False,True,True,False,True,False,True,False,False,351000,214459.26571428566,136540.73428571434,136540.73428571434
9,70000,False,False,False,True,True,False,True,False,True,False,False,600000,360024.6666666666,239975.33333333337,239975.33333333337
15,60000,True,False,False,False,True,False,True,False,False,False,True,195000,204588.57142857142,-9588.57142857142,9588.57142857142
7,15000,True,False,False,False,True,False,True,False,False,False,False,800000,849765.0000000001,-49765.00000000012,49765.00000000012
11,32000,False,False,False,True,False,False,True,False,False,False,False,245000,374200.0,-129200.0,129200.0
12,190621,True,False,False,False,False,False,True,False,False,False,False,300000,604949.76,-304949.76,304949.76
9,15000,False,False,False,True,False,False,True,False,True,False,False,210000,327534.92,-117534.91999999998,117534.91999999998
11,55000,True,False,False,False,False,False,True,False,False,False,False,399000,622454.9999999999,-223454.99999999988,223454.99999999988
13,90000,True,False,False,False,True,False,True,False,False,False,False,400000,318668.62656343664,81331.37343656336,81331.37343656336
15,50000,False,False,False,True,True,False,True,False,False,False,False,135000,219072.61904761902,-84072.61904761902,84072.61904761902
15,28481,False,False,False,True,False,False,True,False,False,False,False,260000,258679.98,1320.0199999999895,1320.0199999999895
11,55000,True,False,False,False,False,False,True,False,False,False,False,530000,622454.9999999999,-92454.99999999988,92454.99999999988
10,50000,False,False,False,True,True,False,True,False,True,False,False,330000,346973.6507936508,-16973.650793650828,16973.650793650828
13,53000,True,False,False,False,True,False,True,False,False,False,False,450000,249860.0,200140.0,200140.0
7,5000,False,False,False,True,True,False,True,False,False,False,False,350000,395432.2233322233,-45432.22333222331,45432.22333222331
11,65000,True,False,False,False,False,False,True,False,False,False,False,565000,554346.66,10653.339999999967,10653.339999999967
10,47000,True,False,False,False,True,False,True,False,False,False,False,900000,805903.5514285713,94096.44857142866,94096.44857142866
16,50000,False,False,False,True,True,False,True,False,True,False,False,240000,152019.49272949272,87980.50727050728,87980.50727050728
21,120000,True,False,False,False,True,False,True,False,False,False,False,70000,139204.1666666667,-69204.16666666669,69204.16666666669
15,60000,False,False,False,True,True,False,True,False,False,False,True,150000,135477.11483333335,14522.885166666645,14522.885166666645
14,82000,True,False,False,False,True,False,True,False,False,False,False,790000,406476.735447559,383523.264552441,383523.264552441
16,50000,True,False,False,False,True,False,True,False,False,False,False,400000,232490.5,167509.5,167509.5
7,11240,False,False,False,True,True,False,True,False,False,False,False,800000,783442.3015873015,16557.69841269846,16557.69841269846
15,60000,False,False,True,False,True,False,True,False,True,False,False,229999,140968.32933333333,89030.67066666667,89030.67066666667
7,11000,False,False,False,True,True,False,True,False,False,False,False,750000,855242.3015873015,-105242.30158730154,105242.30158730154
17,50000,True,False,False,False,True,False,True,False,False,False,False,130000,167842.5,-37842.5,37842.5
20,120000,True,False,False,False,True,False,True,True,False,False,False,50000,134097.85714285716,-84097.85714285716,84097.85714285716
14,80000,True,False,False,False,True,False,True,False,False,False,True,120000,211211.58730158734,-91211.58730158734,91211.58730158734
11,70000,True,False,False,False,True,False,False,False,True,False,False,750000,836171.6266666666,-86171.62666666659,86171.62666666659
14,110000,True,False,False,False,True,False,True,False,False,False,False,120000,220948.80189255186,-100948.80189255186,100948.80189255186
10,55000,True,False,False,False,False,False,True,False,False,False,False,630000,605800.0,24200.0,24200.0
9,60000,False,False,False,True,True,False,True,False,False,False,False,509000,419578.49206349207,89421.50793650793,89421.50793650793
17,50000,False,False,False,True,True,False,True,True,False,False,False,125000,270810.3174603175,-145810.3174603175,145810.3174603175
18,50000,False,False,False,True,True,False,True,False,False,False,True,150000,138890.63492063494,11109.36507936506,11109.36507936506
14,110000,False,False,False,True,True,False,True,False,False,False,True,280000,226190.0,53810.0,53810.0
11,45000,False,False,False,True,True,False,True,False,False,False,False,229999,234142.63785714284,-4143.637857142836,4143.637857142836
8,50000,True,False,False,False,True,False,True,False,False,False,False,850000,659236.1904761905,190763.80952380947,190763.80952380947
20,80000,False,False,False,True,True,False,True,False,False,False,False,100000,106755.0,-6755.0,6755.0
6,1010,False,False,False,True,False,False,True,False,False,True,False,1119000,890526.3634166664,228473.6365833336,228473.6365833336
18,110000,False,False,False,True,True,False,True,False,False,False,True,65000,137236.89476190478,-72236.89476190478,72236.89476190478
11,210000,True,False,False,False,True,False,True,False,False,False,False,210000,581650.0,-371650.0,371650.0
8,17000,False,False,False,True,True,False,True,False,False,False,False,300000,510316.2287348272,-210316.2287348272,210316.2287348272
17,50000,True,False,False,False,True,False,True,False,False,False,False,300000,167842.5,132157.5,132157.5
18,80000,False,False,False,True,True,False,True,False,False,False,False,160000,136496.42857142855,23503.57142857145,23503.57142857145
7,30000,True,False,False,False,True,False,True,False,False,False,False,800000,1067529.1666666667,-267529.16666666674,267529.16666666674
7,8000,False,False,False,True,True,False,True,False,False,False,False,715000,544906.3827838828,170093.6172161172,170093.6172161172
13,80000,True,False,False,False,True,False,True,False,True,False,False,315000,262598.0952380952,52401.90476190479,52401.90476190479
14,40000,True,False,False,False,True,False,True,False,False,False,False,625000,336077.38095238095,288922.61904761905,288922.61904761905
15,90000,True,False,False,False,True,False,True,False,False,False,False,390000,174576.22435897437,215423.77564102563,215423.77564102563
9,15000,False,False,False,True,True,False,True,False,False,False,False,750000,505408.02461427444,244591.97538572556,244591.97538572556
22,100000,False,False,False,True,True,False,True,False,False,False,True,105000,96900.0,8100.0,8100.0
12,35000,False,False,False,True,True,False,True,False,False,False,False,300000,384845.11904761905,-84845.11904761905,84845.11904761905
18,30000,False,False,False,True,True,False,True,False,False,False,False,114999,199510.0,-84511.0,84511.0
16,100000,True,False,False,False,True,False,True,False,False,False,False,350000,295896.0,54104.0,54104.0
12,75000,False,False,False,True,True,False,True,False,False,False,False,300000,259989.0476190476,40010.952380952396,40010.952380952396
12,15000,False,False,False,True,True,False,False,False,False,False,False,400000,644983.0752380952,-244983.07523809525,244983.07523809525
10,70000,True,False,False,False,True,False,True,False,True,False,False,800000,817994.5833333333,-17994.583333333256,17994.583333333256
9,36000,True,False,False,False,False,False,True,False,False,False,False,425000,577013.3333333334,-152013.33333333337,152013.33333333337
16,120000,True,False,False,False,True,False,True,False,False,False,False,250000,388126.0548106061,-138126.05481060612,138126.05481060612
17,52536,False,False,False,True,True,False,True,False,False,False,False,199000,199228.88888888888,-228.88888888887595,228.88888888887595
7,25000,True,False,False,False,True,False,True,False,False,False,False,750000,793171.6666666667,-43171.666666666744,43171.666666666744
14,45454,True,False,False,False,False,False,True,False,False,False,False,390000,376200.0,13800.0,13800.0
8,25000,True,False,False,False,True,False,True,False,False,False,False,800000,703330.7699245199,96669.23007548007,96669.23007548007
14,90000,True,False,False,False,True,False,True,False,False,False,False,300000,371427.4059927,-71427.40599270002,71427.40599270002
9,60000,True,False,False,False,True,False,True,False,False,False,False,650000,641899.146964147,8100.8530358530115,8100.8530358530115
11,69782,False,False,False,True,False,False,True,False,False,False,False,550000,316387.8733766234,233612.12662337662,233612.12662337662
19,50000,False,False,False,True,True,False,True,False,True,False,False,85000,120639.16666666669,-35639.166666666686,35639.166666666686
10,60000,True,False,False,False,True,False,True,False,False,False,False,650000,612197.0143712673,37802.98562873271,37802.98562873271
12,120000,True,False,False,False,True,False,True,False,True,False,False,475000,338949.0476190477,136050.9523809523,136050.9523809523
11,76000,True,False,False,False,True,False,True,False,False,False,False,450000,573124.99,-123124.98999999999,123124.98999999999
8,70000,True,False,False,False,True,False,True,False,False,False,False,500000,800380.9523809525,-300380.95238095254,300380.95238095254
11,100000,True,False,False,False,True,False,True,False,False,False,True,400000,478664.18984126986,-78664.18984126986,78664.18984126986
11,46000,False,False,False,True,True,False,True,False,True,False,False,285000,344676.2995238096,-59676.299523809575,59676.299523809575
21,56580,False,False,False,True,False,False,True,False,False,False,False,80000,80000.0,0.0,0.0
13,30000,False,False,False,True,True,False,True,False,False,False,False,164000,245684.66666666672,-81684.66666666672,81684.66666666672
7,10000,False,False,False,False,True,False,True,False,False,False,False,520000,493268.40980948874,26731.590190511255,26731.590190511255
13,100000,False,False,False,True,True,False,True,False,False,False,False,350000,373602.1356421356,-23602.135642135574,23602.135642135574
9,106000,True,False,False,False,True,False,True,False,False,False,False,744000,616129.0476190476,127870.95238095243,127870.95238095243
14,137250,True,False,False,False,True,False,True,False,True,False,False,345000,262835.7142857143,82164.28571428568,82164.28571428568
16,80251,False,False,False,False,False,False,True,False,True,False,False,88000,207063.9731904762,-119063.97319047619,119063.97319047619
7,16000,False,False,False,True,True,False,False,False,False,False,False,400000,477377.05333333334,-77377.05333333334,77377.05333333334
24,40000,False,False,False,True,True,False,True,False,False,False,False,125000,89519.95,35480.05,35480.05
21,92645,True,False,False,False,False,False,True,True,False,False,False,114999,280269.98,-165270.97999999998,165270.97999999998
14,97000,False,False,False,False,True,False,True,False,True,False,False,170000,245985.57523809525,-75985.57523809525,75985.57523809525
11,80000,True,False,False,False,True,False,True,False,False,False,False,625000,495765.35714285716,129234.64285714284,129234.64285714284
21,120000,False,False,False,True,True,False,True,False,False,False,True,80000,85903.2158730159,-5903.215873015899,5903.215873015899
11,140000,True,False,False,False,True,False,True,False,False,False,True,480000,599033.2133333334,-119033.21333333338,119033.21333333338
15,80000,True,False,False,False,True,False,True,False,False,False,True,180000,196412.94191919197,-16412.941919191973,16412.941919191973
14,80000,True,False,False,False,True,False,True,False,False,False,False,300000,483429.872504946,-183429.87250494602,183429.87250494602
16,107500,True,False,False,False,False,False,True,False,False,False,False,170000,320167.49999999994,-150167.49999999994,150167.49999999994
9,32077,True,False,False,False,False,True,True,False,False,False,False,750000,633405.8254999999,116594.17450000008,116594.17450000008
10,41000,False,False,False,True,False,False,True,False,False,False,False,239000,249519.91381167862,-10519.91381167862,10519.91381167862
14,100000,True,False,False,False,True,False,True,False,False,False,False,600000,516369.63203463197,83630.36796536803,83630.36796536803
